2001001	0046	56931	/JOSS/DATA/RAW/SATELLITE/GOES/G08/4KM/2001/2001001/g08.2001001.0046
2001001	1246	56931	/JOSS/DATA/RAW/SATELLITE/GOES/G08/4KM/2001/2001001/g08.2001001.1246
2001003	0046	56931	/JOSS/DATA/RAW/SATELLITE/GOES/G08/4KM/2001/2001003/g08.2001003.0046
2001004	0046	56931	/JOSS/DATA/RAW/SATELLITE/GOES/G08/4KM/2001/2001004/g08.2001004.0046
2001004	1346	56931	/JOSS/DATA/RAW/SATELLITE/GOES/G08/4KM/2001/2001004/g08.2001004.1346
2001005	0046	56931	/JOSS/DATA/RAW/SATELLITE/GOES/G08/4KM/2001/2001005/g08.2001005.0046
2001006	0046	56931	/JOSS/DATA/RAW/SATELLITE/GOES/G08/4KM/2001/2001006/g08.2001006.0046
2001006	0646	56931	/JOSS/DATA/RAW/SATELLITE/GOES/G08/4KM/2001/2001006/g08.2001006.0646
2001006	1246	56931	/JOSS/DATA/RAW/SATELLITE/GOES/G08/4KM/2001/2001006/g08.2001006.1246
2001007	0046	56931	/JOSS/DATA/RAW/SATELLITE/GOES/G08/4KM/2001/2001007/g08.2001007.0046
2001008	0046	56931	/JOSS/DATA/RAW/SATELLITE/GOES/G08/4KM/2001/2001008/g08.2001008.0046
2001009	0046	56931	/JOSS/DATA/RAW/SATELLITE/GOES/G08/4KM/2001/2001009/g08.2001009.0046
2001009	1646	56931	/JOSS/DATA/RAW/SATELLITE/GOES/G08/4KM/2001/2001009/g08.2001009.1646
2001009	1946	56931	/JOSS/DATA/RAW/SATELLITE/GOES/G08/4KM/2001/2001009/g08.2001009.1946
2001010	1046	56931	/JOSS/DATA/RAW/SATELLITE/GOES/G08/4KM/2001/2001010/g08.2001010.1046
2001011	0046	56931	/JOSS/DATA/RAW/SATELLITE/GOES/G08/4KM/2001/2001011/g08.2001011.0046
2001012	0046	56931	/JOSS/DATA/RAW/SATELLITE/GOES/G08/4KM/2001/2001012/g08.2001012.0046
2001012	1246	56931	/JOSS/DATA/RAW/SATELLITE/GOES/G08/4KM/2001/2001012/g08.2001012.1246
2001013	0046	56931	/JOSS/DATA/RAW/SATELLITE/GOES/G08/4KM/2001/2001013/g08.2001013.0046
2001013	1246	56931	/JOSS/DATA/RAW/SATELLITE/GOES/G08/4KM/2001/2001013/g08.2001013.1246
2001014	0046	56931	/JOSS/DATA/RAW/SATELLITE/GOES/G08/4KM/2001/2001014/g08.2001014.0046
2001014	1246	56931	/JOSS/DATA/RAW/SATELLITE/GOES/G08/4KM/2001/2001014/g08.2001014.1246
2001016	0046	56931	/JOSS/DATA/RAW/SATELLITE/GOES/G08/4KM/2001/2001016/g08.2001016.0046
2001017	0046	56931	/JOSS/DATA/RAW/SATELLITE/GOES/G08/4KM/2001/2001017/g08.2001017.0046
2001018	0046	56931	/JOSS/DATA/RAW/SATELLITE/GOES/G08/4KM/2001/2001018/g08.2001018.0046
2001018	1246	56931	/JOSS/DATA/RAW/SATELLITE/GOES/G08/4KM/2001/2001018/g08.2001018.1246
2001019	0046	56931	/JOSS/DATA/RAW/SATELLITE/GOES/G08/4KM/2001/2001019/g08.2001019.0046
2001020	0046	56931	/JOSS/DATA/RAW/SATELLITE/GOES/G08/4KM/2001/2001020/g08.2001020.0046
2001020	1846	56931	/JOSS/DATA/RAW/SATELLITE/GOES/G08/4KM/2001/2001020/g08.2001020.1846
2001021	0046	56931	/JOSS/DATA/RAW/SATELLITE/GOES/G08/4KM/2001/2001021/g08.2001021.0046
2001021	1246	56931	/JOSS/DATA/RAW/SATELLITE/GOES/G08/4KM/2001/2001021/g08.2001021.1246
2001021	1646	56931	/JOSS/DATA/RAW/SATELLITE/GOES/G08/4KM/2001/2001021/g08.2001021.1646
2001022	0046	56931	/JOSS/DATA/RAW/SATELLITE/GOES/G08/4KM/2001/2001022/g08.2001022.0046
2001022	1246	56931	/JOSS/DATA/RAW/SATELLITE/GOES/G08/4KM/2001/2001022/g08.2001022.1246
2001023	0046	56931	/JOSS/DATA/RAW/SATELLITE/GOES/G08/4KM/2001/2001023/g08.2001023.0046
2001023	1246	56931	/JOSS/DATA/RAW/SATELLITE/GOES/G08/4KM/2001/2001023/g08.2001023.1246
2001024	0046	56931	/JOSS/DATA/RAW/SATELLITE/GOES/G08/4KM/2001/2001024/g08.2001024.0046
2001024	1246	56931	/JOSS/DATA/RAW/SATELLITE/GOES/G08/4KM/2001/2001024/g08.2001024.1246
2001024	1746	127148	/JOSS/DATA/RAW/SATELLITE/GOES/G08/4KM/2001/2001024/g08.2001024.1746
2001025	0046	56931	/JOSS/DATA/RAW/SATELLITE/GOES/G08/4KM/2001/2001025/g08.2001025.0046
2001025	1246	56931	/JOSS/DATA/RAW/SATELLITE/GOES/G08/4KM/2001/2001025/g08.2001025.1246
2001025	1546	56931	/JOSS/DATA/RAW/SATELLITE/GOES/G08/4KM/2001/2001025/g08.2001025.1546
2001026	0046	56931	/JOSS/DATA/RAW/SATELLITE/GOES/G08/4KM/2001/2001026/g08.2001026.0046
2001026	1246	56931	/JOSS/DATA/RAW/SATELLITE/GOES/G08/4KM/2001/2001026/g08.2001026.1246
2001027	0046	56931	/JOSS/DATA/RAW/SATELLITE/GOES/G08/4KM/2001/2001027/g08.2001027.0046
2001028	0046	56931	/JOSS/DATA/RAW/SATELLITE/GOES/G08/4KM/2001/2001028/g08.2001028.0046
2001029	0046	56931	/JOSS/DATA/RAW/SATELLITE/GOES/G08/4KM/2001/2001029/g08.2001029.0046
2001030	0046	56931	/JOSS/DATA/RAW/SATELLITE/GOES/G08/4KM/2001/2001030/g08.2001030.0046
2001030	1246	56931	/JOSS/DATA/RAW/SATELLITE/GOES/G08/4KM/2001/2001030/g08.2001030.1246
2001031	1246	56931	/JOSS/DATA/RAW/SATELLITE/GOES/G08/4KM/2001/2001031/g08.2001031.1246
2001032	1246	56931	/JOSS/DATA/RAW/SATELLITE/GOES/G08/4KM/2001/2001032/g08.2001032.1246
2001033	0046	56931	/JOSS/DATA/RAW/SATELLITE/GOES/G08/4KM/2001/2001033/g08.2001033.0046
